MeasureItem,MeasureItemCategoryID,MeasureItemID,Category,Country,Year,LengthOfCircuits,LengthOfRoutes,NumberOfUnits,ProvidedValue,CreationDate,ProvidedValueCode
Inventory of Transmission,5,412,Of_PU_>275kV,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,AT,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,BA,2024,4037.08,,,,03/10/2025 16:15,
Inventory of Transmission,5,401,ACL_220kV,BA,2024,1520.09,,,,03/10/2025 16:15,
Inventory of Transmission,5,402,ACL_275kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,403,ACL_330kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,BA,2024,865.93,,,,03/10/2025 16:15,
Inventory of Transmission,5,405,ACL_750kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,424,Comments_1,BA,2024,,,,,03/10/2025 16:15,
Inventory of Transmission,5,425,Comments_2,BA,2024,,,,,03/10/2025 16:15,
Inventory of Transmission,5,426,Comments_3,BA,2024,,,,,03/10/2025 16:15,
Inventory of Transmission,5,427,Comments_4,BA,2024,,,,,03/10/2025 16:15,
Inventory of Transmission,5,422,DCC_110kV_220V,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,BA,2024,,,14,2100,03/10/2025 16:15,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,BA,2024,,,6,1800,03/10/2025 16:15,
Inventory of Transmission,5,416,Nw_400kV_220kV,BA,2024,,,7,2800,03/10/2025 16:15,
Inventory of Transmission,5,415,Nw_400kV_330kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,412,Of_PU_>275kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,BA,2024,,,,,03/10/2025 16:15,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,BE,2024,162,80,,,03/06/2025 11:08,
Inventory of Transmission,5,407,ACC_Over_380kV,BE,2024,41,10,,,03/06/2025 11:08,
Inventory of Transmission,5,400,ACL_110kV_220kV,BE,2024,3165,1938,,,03/06/2025 11:08,
Inventory of Transmission,5,401,ACL_220kV,BE,2024,472,302,,,03/06/2025 11:08,
Inventory of Transmission,5,402,ACL_275kV,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,403,ACL_330kV,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,BE,2024,1625,940,,,03/06/2025 11:08,
Inventory of Transmission,5,405,ACL_750kV,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,424,Comments_1,BE,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,425,Comments_2,BE,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,426,Comments_3,BE,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,427,Comments_4,BE,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,422,DCC_110kV_220V,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,BE,2024,49,49,,,03/06/2025 11:08,
Inventory of Transmission,5,409,DCC_Over_380kV,BE,2024,139,139,,,03/06/2025 11:08,
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,BE,2024,,,4,1275,03/06/2025 11:08,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,BE,2024,,,38,18874,03/06/2025 11:08,
Inventory of Transmission,5,416,Nw_400kV_220kV,BE,2024,,,10,3800,03/06/2025 11:08,
Inventory of Transmission,5,415,Nw_400kV_330kV,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,412,Of_PU_>275kV,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,BE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,BG,2024,10164,10164,,,03/06/2025 11:08,
Inventory of Transmission,5,401,ACL_220kV,BG,2024,2711,2711,,,03/06/2025 11:08,
Inventory of Transmission,5,402,ACL_275kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,403,ACL_330kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,BG,2024,3032,3032,,,03/06/2025 11:08,
Inventory of Transmission,5,405,ACL_750kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,424,Comments_1,BG,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,425,Comments_2,BG,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,426,Comments_3,BG,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,427,Comments_4,BG,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,422,DCC_110kV_220V,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,BG,2024,,,42,8.34,03/06/2025 11:08,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,BG,2024,,,18,4.849,03/06/2025 11:08,
Inventory of Transmission,5,416,Nw_400kV_220kV,BG,2024,,,7,5.09,03/06/2025 11:08,
Inventory of Transmission,5,415,Nw_400kV_330kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,BG,2024,,,25,4.46,03/06/2025 11:08,
Inventory of Transmission,5,412,Of_PU_>275kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,BG,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,BG,2024,,,8,4.788,03/06/2025 11:08,
Inventory of Transmission,5,406,ACC_220kV_380kV,CH,2024,45.1,,,,03/06/2025 11:08,
Inventory of Transmission,5,407,ACC_Over_380kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,CH,2024,47.3,,,,03/06/2025 11:08,
Inventory of Transmission,5,401,ACL_220kV,CH,2024,4831.2,,,,03/06/2025 11:08,
Inventory of Transmission,5,402,ACL_275kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,403,ACL_330kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,CH,2024,1779.1,,,,03/06/2025 11:08,
Inventory of Transmission,5,405,ACL_750kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,424,Comments_1,CH,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,425,Comments_2,CH,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,426,Comments_3,CH,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,427,Comments_4,CH,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,422,DCC_110kV_220V,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,416,Nw_400kV_220kV,CH,2024,,,23,14136,03/06/2025 11:08,
Inventory of Transmission,5,415,Nw_400kV_330kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,412,Of_PU_>275kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,CH,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,CY,2024,248,150,,,03/06/2025 11:08,
Inventory of Transmission,5,407,ACC_Over_380kV,CY,2024,,,,,03/06/2025 11:08,Not Available
Inventory of Transmission,5,400,ACL_110kV_220kV,CY,2024,950,475,,,03/06/2025 11:08,
Inventory of Transmission,5,401,ACL_220kV,CY,2024,88.1,44,,,03/06/2025 11:08,
Inventory of Transmission,5,402,ACL_275kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,403,ACL_330kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,405,ACL_750kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,424,Comments_1,CY,2024,,,,66kV power lines exist in the transmission network that do not fall in the above categories. Also 220kV Transmission Lines are operated at 132kV.,03/06/2025 11:08,
Inventory of Transmission,5,425,Comments_2,CY,2024,,,,132kV and 66kV ac cables exist in the transmission network that do not fall in the above categories.,03/06/2025 11:08,
Inventory of Transmission,5,426,Comments_3,CY,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,427,Comments_4,CY,2024,,,,"Power Transformers 15.75/132kV, 11/132kV, 11/66kV, Step Down Network Transformers 132/11kV, 132/6,6kV, 132/3,3kV, 66/3.3kV and interbus transformers 132/66kV exist in the transmission network that do not fall in the above categories.
132/11KV - # 96 - 3139000kVA
132/22-11KV - # 11 - 440000kVA
66/11KV - # 15 - 191000kVA
132/66KV - #6 - 288000kVA",03/06/2025 11:08,
Inventory of Transmission,5,422,DCC_110kV_220V,CY,2024,,,,,03/06/2025 11:08,Not Available
Inventory of Transmission,5,408,DCC_220kV_380kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,CY,2024,,,128,4058,03/06/2025 11:08,Error
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,416,Nw_400kV_220kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,415,Nw_400kV_330kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,412,Of_PU_>275kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,CY,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,406,ACC_220kV_380kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,407,ACC_Over_380kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,400,ACL_110kV_220kV,CZ,2024,84,45,,,03/06/2025 11:08,
Inventory of Transmission,5,401,ACL_220kV,CZ,2024,1687,1128,,,03/06/2025 11:08,
Inventory of Transmission,5,402,ACL_275kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,403,ACL_330kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,CZ,2024,4188,3301,,,03/06/2025 11:08,
Inventory of Transmission,5,405,ACL_750kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,424,Comments_1,CZ,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,425,Comments_2,CZ,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,426,Comments_3,CZ,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,427,Comments_4,CZ,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,422,DCC_110kV_220V,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,409,DCC_Over_380kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,CZ,2024,,,20,4000,03/06/2025 11:08,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,CZ,2024,,,54,18500,03/06/2025 11:08,
Inventory of Transmission,5,416,Nw_400kV_220kV,CZ,2024,,,8,5400,03/06/2025 11:08,
Inventory of Transmission,5,415,Nw_400kV_330kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,413,Of_PU_>220kV,CZ,2024,,,14,4000,03/06/2025 11:08,
Inventory of Transmission,5,412,Of_PU_>275kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,CZ,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,CZ,2024,,,30,23900,03/06/2025 11:08,
Inventory of Transmission,5,406,ACC_220kV_380kV,DE,2024,672.6,655.5,,,03/06/2025 11:08,
Inventory of Transmission,5,407,ACC_Over_380kV,DE,2024,234.9,119.02,,,03/06/2025 11:08,
Inventory of Transmission,5,400,ACL_110kV_220kV,DE,2024,791.7,807.76,,,03/06/2025 11:08,
Inventory of Transmission,5,401,ACL_220kV,DE,2024,10161.9,4288.2,,,03/06/2025 11:08,
Inventory of Transmission,5,402,ACL_275kV,DE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,403,ACL_330kV,DE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,404,ACL_380_400kV,DE,2024,23767.1,13168.3,,,03/06/2025 11:08,
Inventory of Transmission,5,405,ACL_750kV,DE,2024,53,26.5,,,03/06/2025 11:08,
Inventory of Transmission,5,424,Comments_1,DE,2024,,,,Amprion: Selection of circuits and lines owned by Amprion. If there is more than one circuit on a line the highest voltage level is used. Now the Length of Route of 110kV does not inlcudes Routes without active Circuits any more.,03/06/2025 11:08,
Inventory of Transmission,5,425,Comments_2,DE,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,426,Comments_3,DE,2024,,,,Tennet GER: The lenghts reported for DCC_Over_380kV contain 50% of NordLink cable,03/06/2025 11:08,
Inventory of Transmission,5,427,Comments_4,DE,2024,,,,"Amprion: Including transformers (400kV-110kV/220kV-110kV) owned by Lechwerke. Without phase-shifting transformers and transformers for FACTS. We count a set of three single-phase transformers as one transformer, just like a single three-phase transformer; Tennet GER: The values reported for Nw_750kV_400kV_lower contain Phase shifting transformers (PSTs)",03/06/2025 11:08,
Inventory of Transmission,5,422,DCC_110kV_220V,DE,2024,199.4,199.4,,,03/06/2025 11:08,
Inventory of Transmission,5,408,DCC_220kV_380kV,DE,2024,1382.8,1423.1,,,03/06/2025 11:08,
Inventory of Transmission,5,409,DCC_Over_380kV,DE,2024,585,300,,,03/06/2025 11:08,
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,DE,2024,,,244,33556.7,03/06/2025 11:08,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,DE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,419,Nw_330kV_110kV_lower,DE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,418,Nw_330kV_220kV,DE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,417,Nw_400kV_110kV_lower,DE,2024,,,452,100157,03/06/2025 11:08,
Inventory of Transmission,5,416,Nw_400kV_220kV,DE,2024,,,104,47748,03/06/2025 11:08,
Inventory of Transmission,5,415,Nw_400kV_330kV,DE,2024,,,26,3083.55,03/06/2025 11:08,
Inventory of Transmission,5,414,Nw_750kV_400kV_lower,DE,2024,,,18,25.12,03/06/2025 11:08,
Inventory of Transmission,5,413,Of_PU_>220kV,DE,2024,,,93,14675,03/06/2025 11:08,
Inventory of Transmission,5,412,Of_PU_>275kV,DE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,411,Of_PU_>330kV,DE,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,410,Of_PU_>400kV,DE,2024,,,180,68385,03/06/2025 11:08,
Inventory of Transmission,5,406,ACC_220kV_380kV,DK,2024,620.9,366.4,,,03/06/2025 11:08,
Inventory of Transmission,5,407,ACC_Over_380kV,DK,2024,250.7,222.1,,,03/06/2025 11:08,
Inventory of Transmission,5,400,ACL_110kV_220kV,DK,2024,2696.973,1659.8402,,,03/06/2025 11:08,
Inventory of Transmission,5,401,ACL_220kV,DK,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,402,ACL_275kV,DK,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,403,ACL_330kV,DK,2024,256,78.3,,,03/06/2025 11:08,
Inventory of Transmission,5,404,ACL_380_400kV,DK,2024,1472.2924,1033.181,,,03/06/2025 11:08,
Inventory of Transmission,5,405,ACL_750kV,DK,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,424,Comments_1,DK,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,425,Comments_2,DK,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,426,Comments_3,DK,2024,,,,,03/06/2025 11:08,
Inventory of Transmission,5,427,Comments_4,DK,2024,,,,I believe that a category for lower than Of_PU_>220kV is missing. Energinet has 259 units of Of_PU_>110kV with a total capacity of 11762000 kVA. ,03/06/2025 11:08,
Inventory of Transmission,5,422,DCC_110kV_220V,DK,2024,,,,,03/06/2025 11:08,Not Expected
Inventory of Transmission,5,408,DCC_220kV_380kV,DK,2024,829.78,742.29,,,03/06/2025 11:08,
Inventory of Transmission,5,409,DCC_Over_380kV,DK,2024,1565.627,1464.257,,,03/06/2025 11:08,
Inventory of Transmission,5,421,Nw_220kV_110kV_lower,DK,2024,,,2,900,03/06/2025 11:08,
Inventory of Transmission,5,420,Nw_275kV_110kV_lower,DK,2024,,,,,03/06/2025 11:08,Not Expected
